spam
 Id,Title,Communication Status,Communication Type,Reviewers,Days Waiting,Journal Name,Classification,Publication Contact,Fiscal Year,Calendar Year,Volume,Issue,Page Start,Page End,Abstract,DOI,Edition,Report Number,OSTI Date,Create Date,View Status,Charge Number,Create Calendar Year,Create Fiscal Year,Publication Month,Publication Year,Conference,Begin Date,End Date,City,State,Country,Book Title,University,ISBN,Total Pages,Organization Code,Organization Description,Contributor Type,OSTIID,User Facility,Research Center,B&R Code,FWP,IAN,Program,Comm Sub Type,Status Date,Publish Fiscal Year,Secondary ID Number,CRADA Indicator,Already Published Ind,Re Review Ind,Authors,Preview Link
132763,Performing Quantum Chemical Computations at Different Levels of Theory to Predict Am(III) over Eu(III) Selectivity for DTPA-based Ligands,Completed,Abstract,,,,"Unclassified, Non Sensitive",Kit Curtis,2020,2019,,,,,,,,,,17-Sep-19,Full,34603270,2019,2019,11,2019,American Institute of Chemical Engineers (AIChE) Student Conference,8-Nov-19,11-Nov-19,Orlando,Florida,United States of America,,,,2,50000105,Chemical Sciences Division,,,Not applicable,Not applicable,AF5805010,NEAF315,,Not Applicable,Conference for the general public,25-Nov-19,2020,,,FALSE,FALSE,"Stephen Jon Quiton, Vyacheslav Bryantsev",Link to: Pub Id 132763
132748,Adiabatic Quantum Computing and Quantum Annealing,Completed,Book Chapter,,,,"Unclassified, Non Sensitive",Travis Humble,2020,2020,,,1,26,,10.1093/acrefore/9780190871994.013.32,,,22-Aug-20,16-Sep-19,Full,3395EC03,2019,2019,7,2020,,,,,,,Oxford Research Encyclopedia of Physics,,9.78E+12,26,50159093,Computational Sciences & Engineering Div,,1649500,Not applicable,Not applicable,KJ0402010,ERKJ315,,Advanced Scientific Computing Research (ASCR),,14-Aug-20,2020,,FALSE,TRUE,FALSE,"Erica Grant, Travis Humble",Link to: Pub Id 132748
131780,Scientific Computing Benchmarks for Quantum Computers,Completed,Abstract,,,,"Unclassified, Non Sensitive",Travis Humble,2020,2020,,,,,"The burgeoning interest in using quantum computers for modeling and simulation of physical systems raises the question of how to track progress toward the ultimate goal of scientific discovery with quantum computing. Using noisy, intermediate scale quantum computers as platforms for testing and evaluating, we prototype applications in chemistry and materials science to evaluate the accuracy and computational complexity underlying such approaches. We explore the trade-space of algorithm design and platform constraints to define metrics that offer insights into when quantum computers may be ready for performance-driven applications and what must be overcome to reach this capability. These metrics give rises to scientific computing benchmarks that may be used to evaluate both device-level characteristics and application-level behaviors for the next generation of quantum computers.",,,,,2-Sep-19,Full,3395EC03,2019,2019,2,2020,SIAM Conference on Parallel Processing for Scientific Computing,12-Feb-20,,Seattle,Washington,United States of America,,,,1,50159093,Computational Sciences & Engineering Div,,,Oak Ridge Leadership Computing Facility,Not applicable,KJ0402010,ERKJ315,,Advanced Scientific Computing Research (ASCR),Conference for the general public,25-Aug-20,2020,,,FALSE,FALSE,"Travis Humble, Dmitry Liakh, Alex Mccaskey",Link to: Pub Id 131780
130607,Quantum computing based hybrid solution strategies for large-scale discrete-continuous optimization problems,Completed,Journal,,,Computers & Chemical Engineering,"Unclassified, Non Sensitive",Travis Humble,2020,2019,132,1,106630,,"Quantum computing (QC) has gained popularity due to its unique capabilities that are quite different from that of classical computers in terms of speed and methods of operations. This paper proposes hybrid models and methods that effectively leverage the complementary strengths of deterministic algorithms and QC techniques to overcome combinatorial complexity for solving large-scale mixed-integer programming problems. Four applications, namely the molecular conformation problem, job-shop scheduling problem, manufacturing cell formation problem, and the vehicle routing problem, are specifically addressed. Large-scale instances of these application problems across multiple scales ranging from molecular design to logistics optimization are computationally challenging for deterministic optimization algorithms on classical computers. To address the computational challenges, hybrid QC-based algorithms are proposed and extensive computational experimental results are presented to demonstrate their applicability and efficiency. The proposed QC-based solution strategies enjoy high computational efficiency in terms of solution quality and computation time, by utilizing the unique features of both classical and quantum computers.",10.1016/j.compchemeng.2019.106630,,,28-Mar-20,19-Aug-19,Full,3395EC03,2019,2019,10,2019,,,,,,,,,,19,50159093,Computational Sciences & Engineering Div,,1606975,Not applicable,Not applicable,KJ0402010,ERKJ315,,Advanced Scientific Computing Research (ASCR),,8-Nov-19,2020,,FALSE,FALSE,FALSE,"Akshay Ajagekar, Travis Humble, Fenqgi You",Link to: Pub Id 130607
130497,DCA++: A software framework to solve correlated electron problems with modern quantum cluster methods,Completed,Journal,,,Computer Physics Communications,"Unclassified, Non Sensitive",Gonzalo Alvarez,2020,2020,246,n/a,106709,,"We present the first open release of the DCA++ project, a high-performance research software framework to solve quantum many-body problems with cutting edge quantum cluster algorithms. DCA++ implements the dynamical cluster approximation (DCA) and its DCA extension with a continuous self-energy. The algorithms capture nonlocal correlations in strongly correlated electron systems, thereby giving insight into high- superconductivity. The code’s scalability allows efficient usage of systems at all scales, from workstations to leadership computers. With regard to the increasing heterogeneity of modern computing machines, DCA++ provides portable performance on conventional and emerging new architectures, such as hybrid CPU–GPU, sustaining multiple petaflops on ORNL’s Titan and CSCS’ Piz Daint supercomputers. Moreover, we show how sustainable and scalable development of the code base has been achieved by adopting standard techniques of the software industry. These include employing a distributed version control system, applying test-driven development and following continuous integration.",10.1016/j.cpc.2019.01.006,,,28-Mar-20,18-Aug-19,Full,"3NMSD201, 3NMSD200, 3395CF01, 3395CF02",2019,2019,1,2020,,,,,,,,,,19,50008679,Computational Chemical & Matls Sciences,,1606982,"Center for Nanophase Materials Sciences, Oak Ridge Leadership Computing Facility",Not applicable,"KC0202031, KC0202031, KJ0403010, KJ0403010","ERKCZ45, ERKCZ45, ERKJ329, ERKJ329",,Not Applicable,,19-Feb-20,2020,,FALSE,FALSE,FALSE,"Urs R hähner, Gonzalo Alvarez, Thomas Maier, Raffaele Solca, Peter Staar, Michael Summers, Thomas Schulthess",Link to: Pub Id 130497
130484,Vibrational modes and quantum zero-point energy of hydrogen in ZrH0.0155 and ZrH2,Completed,Journal,,,Journal of Alloys and Compounds,"Unclassified, Non Sensitive",Alexander Kolesnikov,2020,2019,818,N/A,152832,,"We report on an inelastic neutron scattering study of the proton dynamics in ZrH0.0155 and ε-ZrH2. In particular, we present measurements of the incoherent dynamic structure factor, generalized vibrational density of states, and proton momentum distribution of these two materials. Our results are generally consistent with theoretical predictions of Elsässer et al. [Mat. Res. Soc. Symp. Proc. 453 221–226 (1997)]. They argued that the effective Born-Oppenheimer potential experienced by the hydrogen atoms in ε-ZrH2 is nearly isotropic and harmonic at energies below 0.3 eV, but becomes anisotropic and anharmonic for higher energies. At low temperatures, the proton momentum distribution is dominated by the quantum-mechanical ground state of the protons. We find that it assumes a Gaussian shape, consistent with the concept that the potential surface is approximately harmonic for small displacements of the hydrogen atoms. However, the anharmonicity of the potential becomes readily apparent in the excited states of the hydrogen atoms, as the harmonic approximation breaks down in the description of the multiphonon bands.",10.1016/j.jallcom.2019.152832,,,28-Mar-20,16-Aug-19,Full,NNSD4001,2019,2019,10,2019,,,,,,,,,,9,50444130,Neutron Scattering Division,,1606984,Spallation Neutron Source,Not applicable,KC0402010,ERKCSNX,,Basic Energy Sciences (BES) - Scientific User Facilities (SNS & HFIR),,8-Jan-20,2020,,FALSE,FALSE,FALSE,"Timothy Prisk, Alexander Kolesnikov, Garrett Granroth, Jun-Li Lin, Brent Heuser",Link to: Pub Id 130484
129849,Quantum supremacy using a programmable superconducting processor,Completed,Journal,,,Nature,"Unclassified, Non Sensitive",Travis Humble,2020,2019,574,7779,505,510,"The promise of quantum computers is that certain computational tasks might be executed exponentially faster on a quantum processor than on a classical processor1. A fundamental challenge is to build a high-fidelity processor capable of running quantum algorithms in an exponentially large computational space. Here we report the use of a processor with programmable superconducting qubits2,3,4,5,6,7 to create quantum states on 53 qubits, corresponding to a computational state-space of dimension 253 (about 1016). Measurements from repeated experiments sample the resulting probability distribution, which we verify using classical simulations. Our Sycamore processor takes about 200 seconds to sample one instance of a quantum circuit a million times—our benchmarks currently indicate that the equivalent task for a state-of-the-art classical supercomputer would take approximately 10,000 years. This dramatic increase in speed compared to all known classical algorithms is an experimental realization of quantum supremacy8,9,10,11,12,13,14 for this specific computational task, heralding a much-anticipated computing paradigm.",10.1038/s41586-019-1666-5,,,28-Mar-20,6-Aug-19,Full,3395EC03,2019,2019,10,2019,,,,,,,,,,7,50159093,Computational Sciences & Engineering Div,,1607005,Oak Ridge Leadership Computing Facility,Not applicable,KJ0402010,ERKJ315,,Advanced Scientific Computing Research (ASCR),,5-Nov-19,2020,,FALSE,FALSE,FALSE,"Frank Arute, Travis Humble, Dmitry Liakh, John Martinis",Link to: Pub Id 129849
128986,"Crystal field splitting, local anisotropy, and low-energy excitations in the quantum magnet YbCl3",Completed,Journal,,,Physical Review B,"Unclassified, Non Sensitive",Andrew Christianson,2020,2019,100,18,180406,,"We study the correlated quantum magnet YbCl3 with neutron scattering, magnetic susceptibility, and heat capacity measurements. The crystal field Hamiltonian is determined through simultaneous refinements of the inelastic neutron scattering and magnetization data. The ground-state doublet is well isolated from the other crystal field levels and results in an effective spin-1/2 system with local easy plane anisotropy at low temperature. Cold neutron spectroscopy shows low-energy excitations peaked at 0.5 meV that are consistent with nearest-neighbor antiferromagnetic correlations.",10.1103/PhysRevB.100.180406,,,22-Aug-20,24-Jul-19,Full,34716885,2019,2019,11,2019,,,,,,,,,,6,50000011,Materials Science and Technology Div,,1649548,Spallation Neutron Source,Not applicable,KC0201060,ERKCK34,,Basic Energy Sciences (BES),,20-Aug-20,2020,,FALSE,FALSE,FALSE,"Gabriele Sala, Matthew Stone, Binod Rai, Andrew May, David Parker, Gabor Halasz, Yongqiang Cheng, Georg Ehlers, Vasile Garlea, Qiang Zhang, Mark Lumsden, Andrew Christianson",Link to: Pub Id 128986
128064,Quantum Information Processing With Frequency-Comb Qudits,Completed,Journal,,,IEEE Photonics Technology Letters,"Unclassified, Non Sensitive",Joseph Lukens,2020,2019,31,23,1858,1861,"Classical optical frequency combs have revolutionized a myriad of fields, from optical spectroscopy and optical clocks to arbitrary microwave synthesis and lightwave communication. Capitalizing on the inherent robustness and high dimensionality of this mature optical platform, their nonclassical counterparts, so-called “quantum frequency combs,” have recently begun to display significant promise for fiber-compatible quantum information processing (QIP) and quantum networks. In this review, the basic theory and experiments of frequency-bin QIP, as well as perspectives on opportunities for continued advances, will be covered. Particular emphasis is placed on the recent demonstration of the quantum frequency processor (QFP), a photonic device based on electro-optic modulation and Fourier-transform pulse shaping that is capable of realizing high-fidelity quantum frequency gates in a parallel, low-noise fashion.",10.1109/LPT.2019.2942136,,,28-Mar-20,9-Jul-19,Full,"32112672, 3395QT11",2019,2019,12,2019,,,,,,,,,,4,50159093,Computational Sciences & Engineering Div,,1607049,Not applicable,Not applicable,KJ0403030,ERKJ333,,"Advanced Scientific Computing Research (ASCR),Laboratory Director's Research and Development (LDRD)",,27-Dec-19,2020,,FALSE,FALSE,FALSE,"Hsuan-Hao Lu, Andrew Weiner, Pavel Lougovski, Joseph Lukens",Link to: Pub Id 128064
127782,"Materializing rival ground states in the barlowite family of kagome magnets: quantum spin liquid, spin ordered, and valence bond crystal states",Completed,Journal,,,npj Quantum Materials,"Unclassified, Non Sensitive",Adam Aczel,2020,2020,5,1,23,,"The spin-1/2 kagome antiferromagnet is considered an ideal host for a quantum spin liquid (QSL) ground state. We find that when the bonds of the kagome lattice are modulated with a periodic pattern, new quantum ground states emerge. Newly synthesized crystalline barlowite (Cu4(OH)6FBr) and Zn-substituted barlowite demonstrate the delicate interplay between singlet states and spin order on the spin-1/2 kagome lattice. Comprehensive structural measurements demonstrate that our new variant of barlowite maintains hexagonal symmetry at low temperatures with an arrangement of distorted and undistorted kagome triangles, for which numerical simulations predict a pinwheel valence bond crystal (VBC) state instead of a QSL. The presence of interlayer spins eventually leads to an interesting pinwheel q = 0 magnetic order. Partially Zn-substituted barlowite (Cu3.44Zn0.56(OH)6FBr) has an ideal kagome lattice and shows QSL behavior, indicating a surprising robustness of the QSL against interlayer impurities. The magnetic susceptibility is similar to that of herbertsmithite, even though the Cu2+ impurities are above the percolation threshold for the interlayer lattice and they couple more strongly to the nearest kagome moment. This system is a unique playground displaying QSL, VBC, and spin order, furthering our understanding of these highly competitive quantum states.",10.1038/s41535-020-0222-8,,,9-May-20,1-Jul-19,Full,NNSD4H03,2019,2019,4,2020,,,,,,,,,,11,50444130,Neutron Scattering Division,,1617810,High Flux Isotope Reactor,Not applicable,KC0402010,ERKCSNX,,Basic Energy Sciences (BES) - Scientific User Facilities (SNS & HFIR),,7-May-20,2020,,FALSE,FALSE,FALSE,"Rebecca W. Smaha, Adam Aczel",Link to: Pub Id 127782
